open,high,low,close,volume,amount,timestamps
415.2,425.36,405.09,419.05,49612,20789908.6,2018-01-02
416.7,436.6,414.94,431.06,52019,22423310.14,2018-01-03
436.6,458.7,434.53,452.27,72205,32656155.349999998,2018-01-04
456.2,461.23,443.42,453.56,39989,18137410.84,2018-01-05
450.22,471.7,450.22,467.33,52205,24396962.65,2018-01-08
467.41,498.2,467.41,497.72,64592,32148730.240000002,2018-01-09
500.2,504.08,488.68,500.91,47714,23900419.740000002,2018-01-10
502.2,503.2,487.2,490.01,50656,24821946.56,2018-01-11
488.97,504.0,482.22,503.62,45988,23160476.56,2018-01-12
508.66,514.26,494.22,500.57,52473,26266409.61,2018-01-15
495.68,503.81,483.2,488.14,65428,31938023.919999998,2018-01-16
485.2,489.2,453.71,463.13,90710,42010522.3,2018-01-17
463.13,480.2,459.29,465.94,58979,27480675.26,2018-01-18
468.1,474.1,454.22,465.38,50926,23699941.88,2018-01-19
467.01,489.2,467.01,488.84,67127,32814362.68,2018-01-22
493.01,495.2,483.8,488.98,49549,24228470.02,2018-01-23
491.64,491.66,473.8,479.66,43299,20768798.34,2018-01-24
476.2,491.2,466.2,484.36,50041,24237858.76,2018-01-25
482.44,492.6,479.2,492.42,43978,21655646.76,2018-01-26
493.96,494.87,450.2,451.52,74536,33654494.72,2018-01-29
451.2,463.97,445.22,457.28,51911,23737862.08,2018-01-30
454.2,486.91,454.2,479.74,60402,28977255.48,2018-01-31
482.2,482.5,468.12,472.93,50583,23922218.19,2018-02-01
467.42,468.43,440.2,455.6,75421,34361807.6,2018-02-02
442.42,445.16,420.8,433.43,98996,42907836.28,2018-02-05
418.2,437.8,418.2,424.06,88169,37388946.14,2018-02-06
435.2,439.08,397.21,398.63,88290,35195042.7,2018-02-07
397.4,433.2,397.4,416.19,83409,34713991.71,2018-02-08
395.2,405.09,373.2,398.63,105578,42086558.14,2018-02-09
406.2,420.7,400.4,412.68,64180,26485802.400000002,2018-02-12
420.22,430.02,419.7,427.18,53389,22806713.02,2018-02-13
435.2,435.2,427.42,433.65,30653,13292673.45,2018-02-14
442.5,459.2,438.44,457.65,50765,23232602.25,2018-02-22
462.2,471.76,452.2,457.68,38159,17464611.12,2018-02-23
462.08,467.25,448.22,458.71,43658,20026361.18,2018-02-26
464.2,471.2,452.42,453.18,42602,19306374.36,2018-02-27
447.2,457.5,434.2,440.82,48331,21305271.419999998,2018-02-28
443.2,462.05,438.97,457.17,44795,20478930.150000002,2018-03-01
453.2,458.76,445.2,451.61,25992,11738247.120000001,2018-03-02
453.38,457.2,432.23,435.31,37235,16208767.85,2018-03-05
440.2,442.8,412.33,433.46,64570,27988512.2,2018-03-06
430.2,439.2,424.19,425.24,34596,14711603.040000001,2018-03-07
429.2,439.2,423.2,437.96,35349,15481448.04,2018-03-08
442.75,447.77,438.7,443.4,30171,13377821.399999999,2018-03-09
444.75,449.12,437.97,439.15,39888,17516815.2,2018-03-12
438.2,441.8,425.2,425.55,38577,16416442.35,2018-03-13
424.87,443.28,422.42,442.08,37356,16514340.479999999,2018-03-14
443.22,462.2,443.22,461.67,56149,25922308.830000002,2018-03-15
462.8,469.18,454.08,455.05,35856,16316272.8,2018-03-16
459.17,469.19,454.2,468.68,38667,18122449.56,2018-03-19
465.2,467.2,455.2,462.93,28877,13368029.61,2018-03-20
465.31,468.31,455.2,457.2,26743,12226899.6,2018-03-21
459.2,463.2,439.21,441.28,37487,16542263.36,2018-03-22
416.2,438.69,415.28,426.26,52547,22398684.22,2018-03-23
423.2,430.26,417.08,428.69,46256,19829484.64,2018-03-26
438.2,441.08,419.2,429.94,47548,20442787.12,2018-03-27
415.17,418.2,384.2,397.25,113540,45103765.0,2018-03-28
397.4,413.05,373.61,404.3,79082,31972852.6,2018-03-29
401.2,408.7,395.08,398.82,36540,14572882.799999999,2018-03-30
395.2,406.2,389.31,395.26,32039,12663735.14,2018-04-02
393.2,402.2,390.59,393.11,40236,15817173.96,2018-04-03
397.2,415.63,395.58,409.21,56891,23280366.11,2018-04-04
412.3,420.63,405.35,413.5,30833,12749445.5,2018-04-09
420.0,423.7,413.66,423.22,32043,13561238.46,2018-04-10
425.2,429.98,418.22,420.56,25723,10818064.88,2018-04-11
419.2,422.08,407.42,409.4,30714,12574311.6,2018-04-12
413.7,416.2,400.28,402.06,27550,11076753.0,2018-04-13
395.78,402.05,392.2,396.58,32940,13063345.2,2018-04-16
400.2,400.58,380.8,381.4,35173,13414982.2,2018-04-17
386.2,386.2,360.2,370.84,62617,23220888.279999997,2018-04-18
375.05,395.2,371.86,395.16,44208,17469233.28,2018-04-19
396.2,409.2,383.43,385.46,41512,16001215.52,2018-04-20
381.21,395.53,381.21,389.21,32659,12711209.389999999,2018-04-23
391.2,408.7,390.2,405.08,47283,19153397.64,2018-04-24
404.2,407.2,398.22,406.17,25252,10256604.84,2018-04-25
407.2,407.48,388.2,393.43,35048,13788934.64,2018-04-26
400.45,403.56,370.2,377.73,57915,21876232.95,2018-04-27
375.2,384.19,360.26,383.03,70259,26911304.77,2018-05-02
381.2,388.88,373.2,386.08,36327,14025128.16,2018-05-03
386.18,390.03,375.77,378.07,37376,14130744.32,2018-05-04
375.15,417.08,372.97,413.37,85591,35380751.67,2018-05-07
413.23,427.33,413.23,424.03,62498,26501026.939999998,2018-05-08
424.28,427.5,412.32,417.15,32331,13486876.649999999,2018-05-09
418.7,431.2,418.7,429.39,39294,16872450.66,2018-05-10
433.89,445.7,430.9,433.22,39142,16957097.240000002,2018-05-11
439.2,458.2,439.2,457.61,51015,23344974.150000002,2018-05-14
461.2,461.64,449.2,458.26,38056,17439542.56,2018-05-15
455.2,460.86,448.48,449.72,30795,13849127.4,2018-05-16
450.32,452.7,439.2,442.58,28518,12621496.44,2018-05-17
439.19,456.2,436.39,454.52,29255,13296982.6,2018-05-18
459.2,462.5,447.68,450.02,29060,13077581.2,2018-05-21
450.42,455.04,445.22,454.77,16999,7730635.2299999995,2018-05-22
455.2,455.2,438.78,438.98,28269,12409525.620000001,2018-05-23
435.2,443.86,428.2,430.6,30416,13097129.600000001,2018-05-24
427.2,442.2,427.2,432.06,26511,11454342.66,2018-05-25
433.2,455.86,430.32,455.6,42805,19501958.0,2018-05-28
454.0,465.2,446.48,446.63,40820,18231436.6,2018-05-29
