window,method,pinball_lo,pinball_hi,CRPS,Winkler
6,raw,12.84,14.1,38.39,269.43
6,aci,15.94,10.97,38.39,269.07
6,rcac,15.94,10.97,38.39,269.07
7,raw,33.92,13.2,62.23,471.2
7,aci,25.23,18.73,62.23,439.63
7,rcac,26.1,17.41,62.23,435.09
8,raw,139.3,36.85,208.83,1761.5
8,aci,28.82,53.48,208.83,823.03
8,rcac,17.73,69.85,208.83,875.82
9,raw,21.93,15.93,39.96,378.59
9,aci,14.18,14.84,39.96,290.12
9,rcac,34.08,29.61,39.96,636.98
10,raw,12.22,18.98,37.52,311.97
10,aci,12.66,14.12,37.52,267.73
10,rcac,8.86,11.65,37.52,205.11
