symbol,level,method,PICP,exc,exp_exc,p_1sided,pass1s,p_cc,CI_lo,CI_hi
sh000300,80,raw,70.0,30,20,0.0112,False,0.0,5.0,65.0
sh000300,80,sc,78.0,22,20,0.346,True,0.0,1.0,59.0
sh000300,80,aci,79.0,21,20,0.4405,True,0.0,1.0,50.0
sh000300,80,rcac,92.0,8,20,0.9997,True,0.0002,1.0,16.0
sh000300,80,gated,81.0,19,20,0.6379,True,0.0008,1.0,44.0
sh000300,80,sym,92.0,8,20,0.9997,True,0.0002,1.0,16.0
sh000300,80,agaci,79.0,21,20,0.4405,True,0.0,1.0,50.0
sh000300,80,garch,89.0,11,20,0.9943,True,0.0151,0.0,29.0
sh000300,80,hsim,77.0,23,20,0.2611,True,0.0,2.0,57.0
sh000300,80,cqr,56.0,44,20,0.0,False,0.0,19.0,74.0
sh000300,80,enbpi,78.0,22,20,0.346,True,0.0,3.0,51.0
sh000300,90,raw,71.0,29,10,0.0,False,0.0,4.0,63.0
sh000300,90,sc,82.0,18,10,0.01,False,0.0,0.0,50.0
sh000300,90,aci,85.0,15,10,0.0726,True,0.0097,1.0,32.0
sh000300,90,rcac,93.0,7,10,0.8828,True,0.01,1.0,16.0
sh000300,90,gated,87.0,13,10,0.1982,True,0.0251,1.0,26.0
sh000300,90,sym,92.0,8,10,0.7939,True,0.0344,1.0,16.52
sh000300,90,agaci,85.0,15,10,0.0726,True,0.0097,1.0,32.0
sh000300,90,garch,97.0,3,10,0.9981,True,0.0042,0.0,9.0
sh000300,90,hsim,90.0,10,10,0.5487,True,0.0248,0.0,30.0
sh000300,90,cqr,68.0,32,10,0.0,False,0.0,12.0,62.0
sh000300,90,enbpi,94.0,6,10,0.9424,True,0.2288,0.0,18.0
sh000300,95,raw,80.0,20,5,0.0,False,0.0,1.0,47.0
sh000300,95,sc,88.0,12,5,0.0043,False,0.0,0.0,34.0
sh000300,95,aci,87.0,13,5,0.0015,False,0.0,0.0,29.0
sh000300,95,rcac,94.0,6,5,0.384,True,0.0049,0.0,15.0
sh000300,95,gated,88.0,12,5,0.0043,False,0.0004,0.0,26.0
sh000300,95,sym,93.0,7,5,0.234,True,0.0119,1.0,16.0
sh000300,95,agaci,87.0,13,5,0.0015,False,0.0,0.0,29.0
sh000300,95,garch,99.0,1,5,0.9941,True,0.0834,0.0,3.0
sh000300,95,hsim,98.0,2,5,0.9629,True,0.2849,0.0,6.0
sh000300,95,cqr,81.0,19,5,0.0,False,0.0,1.0,50.0
sh000300,95,enbpi,98.0,2,5,0.9629,True,0.2849,0.0,6.0
sh000905,80,raw,51.0,49,20,0.0,False,0.0,25.0,72.0
sh000905,80,sc,80.0,20,20,0.5398,True,0.0,3.0,44.0
sh000905,80,aci,78.0,22,20,0.346,True,0.0,3.48,41.0
sh000905,80,rcac,90.0,10,20,0.9977,True,0.0,2.0,23.0
sh000905,80,gated,83.0,17,20,0.8077,True,0.0,2.48,31.0
sh000905,80,sym,90.0,10,20,0.9977,True,0.0,2.0,23.0
sh000905,80,agaci,78.0,22,20,0.346,True,0.0,3.48,41.0
sh000905,80,garch,79.0,21,20,0.4405,True,0.0,4.0,42.52
sh000905,80,hsim,74.0,26,20,0.0875,True,0.0,6.0,48.0
sh000905,80,cqr,43.0,57,20,0.0,False,0.0,34.0,77.0
sh000905,80,enbpi,76.0,24,20,0.1891,True,0.0,4.0,48.0
sh000905,90,raw,65.0,35,10,0.0,False,0.0,15.0,54.0
sh000905,90,sc,88.0,12,10,0.297,True,0.0,0.0,32.0
sh000905,90,aci,85.0,15,10,0.0726,True,0.0014,3.48,26.0
sh000905,90,rcac,91.0,9,10,0.6791,True,0.0,0.0,21.0
sh000905,90,gated,89.0,11,10,0.4168,True,0.0,0.0,23.57
sh000905,90,sym,91.0,9,10,0.6791,True,0.0,0.0,21.0
sh000905,90,agaci,85.0,15,10,0.0726,True,0.0,1.0,29.0
sh000905,90,garch,90.0,10,10,0.5487,True,0.0,0.0,30.0
sh000905,90,hsim,81.0,19,10,0.0046,False,0.0,2.0,39.0
sh000905,90,cqr,62.0,38,10,0.0,False,0.0,15.48,64.0
sh000905,90,enbpi,83.0,17,10,0.0206,False,0.0,2.0,33.0
sh000905,95,raw,70.0,30,5,0.0,False,0.0,3.0,61.0
sh000905,95,sc,97.0,3,5,0.8817,True,0.1002,0.0,9.0
sh000905,95,aci,88.0,12,5,0.0043,False,0.0,2.48,23.0
sh000905,95,rcac,90.0,10,5,0.0282,False,0.0,1.0,22.0
sh000905,95,gated,89.0,11,5,0.0115,False,0.0,1.0,23.0
sh000905,95,sym,90.0,10,5,0.0282,False,0.0,1.0,22.0
sh000905,95,agaci,89.0,11,5,0.0115,False,0.0,1.0,23.0
sh000905,95,garch,92.0,8,5,0.128,True,0.0,0.0,24.0
sh000905,95,hsim,85.0,15,5,0.0001,False,0.0,1.0,30.0
sh000905,95,cqr,76.0,24,5,0.0,False,0.0,4.0,48.0
sh000905,95,enbpi,91.0,9,5,0.0631,True,0.0,0.0,19.57
600519,80,raw,37.0,63,20,0.0,False,0.0,41.0,85.0
600519,80,sc,77.0,23,20,0.2611,True,0.0,4.0,42.0
600519,80,aci,69.0,31,20,0.0061,False,0.0,10.0,59.0
