symbol,level,method,PICP,exc,exp,p_1sided,pass1s
spx,80,raw,63.0,37,20,0.0001,False
spx,80,aci,83.0,17,20,0.8077,True
spx,80,rcac,85.0,15,20,0.9196,True
spx,80,raw,60.0,40,20,0.0,False
spx,80,aci,84.0,16,20,0.8715,True
spx,80,rcac,83.0,17,20,0.8077,True
spx,80,raw,61.0,39,20,0.0,False
spx,80,aci,83.0,17,20,0.8077,True
spx,80,rcac,85.0,15,20,0.9196,True
spx,90,raw,70.0,30,10,0.0,False
spx,90,aci,93.0,7,10,0.8828,True
spx,90,rcac,91.0,9,10,0.6791,True
spx,90,raw,75.0,25,10,0.0,False
spx,90,aci,94.0,6,10,0.9424,True
spx,90,rcac,90.0,10,10,0.5487,True
spx,90,raw,71.0,29,10,0.0,False
spx,90,aci,93.0,7,10,0.8828,True
spx,90,rcac,92.0,8,10,0.7939,True
spx,95,raw,72.0,28,5,0.0,False
spx,95,aci,99.0,1,5,0.9941,True
spx,95,rcac,96.0,4,5,0.7422,True
spx,95,raw,80.0,20,5,0.0,False
spx,95,aci,99.0,1,5,0.9941,True
spx,95,rcac,96.0,4,5,0.7422,True
spx,95,raw,81.0,19,5,0.0,False
spx,95,aci,100.0,0,5,1.0,True
spx,95,rcac,97.0,3,5,0.8817,True
