symbol,level,seed,window,method,PICP,Winkler
spx,80,42,6,raw,20.0,1250.9
spx,80,42,6,aci,70.0,643.2
spx,80,42,6,rcac,95.0,658.5
spx,80,42,7,raw,80.0,440.6
spx,80,42,7,aci,95.0,510.6
spx,80,42,7,rcac,95.0,647.8
spx,80,42,8,raw,100.0,245.6
spx,80,42,8,aci,100.0,398.6
spx,80,42,8,rcac,100.0,474.6
spx,80,42,9,raw,25.0,1382.9
spx,80,42,9,aci,65.0,638.8
spx,80,42,9,rcac,40.0,754.1
spx,80,42,10,raw,90.0,441.8
spx,80,42,10,aci,85.0,570.5
spx,80,42,10,rcac,95.0,765.9
spx,80,43,6,raw,25.0,934.8
spx,80,43,6,aci,70.0,588.3
spx,80,43,6,rcac,85.0,572.2
spx,80,43,7,raw,75.0,466.4
spx,80,43,7,aci,95.0,495.4
spx,80,43,7,rcac,95.0,619.7
spx,80,43,8,raw,85.0,247.8
spx,80,43,8,aci,100.0,385.4
spx,80,43,8,rcac,100.0,464.2
spx,80,43,9,raw,25.0,1425.3
spx,80,43,9,aci,65.0,734.1
spx,80,43,9,rcac,40.0,982.2
spx,80,43,10,raw,90.0,396.9
spx,80,43,10,aci,90.0,522.2
spx,80,43,10,rcac,95.0,734.3
spx,80,44,6,raw,25.0,900.3
spx,80,44,6,aci,70.0,624.5
spx,80,44,6,rcac,95.0,641.6
spx,80,44,7,raw,80.0,480.3
spx,80,44,7,aci,95.0,486.9
spx,80,44,7,rcac,95.0,615.5
spx,80,44,8,raw,95.0,271.6
spx,80,44,8,aci,100.0,390.5
spx,80,44,8,rcac,100.0,468.8
spx,80,44,9,raw,25.0,967.8
spx,80,44,9,aci,65.0,639.1
spx,80,44,9,rcac,40.0,853.2
spx,80,44,10,raw,80.0,398.3
spx,80,44,10,aci,85.0,508.1
spx,80,44,10,rcac,95.0,680.6
spx,90,42,6,raw,30.0,1926.7
spx,90,42,6,aci,90.0,868.6
spx,90,42,6,rcac,100.0,917.0
spx,90,42,7,raw,95.0,475.0
spx,90,42,7,aci,100.0,741.0
spx,90,42,7,rcac,100.0,741.0
spx,90,42,8,raw,100.0,300.0
spx,90,42,8,aci,100.0,687.8
spx,90,42,8,rcac,100.0,813.1
spx,90,42,9,raw,35.0,1937.9
spx,90,42,9,aci,80.0,778.1
spx,90,42,9,rcac,60.0,766.2
spx,90,42,10,raw,90.0,574.3
spx,90,42,10,aci,95.0,816.6
spx,90,42,10,rcac,95.0,910.0
spx,90,43,6,raw,80.0,599.3
spx,90,43,6,aci,95.0,827.4
spx,90,43,6,rcac,100.0,905.7
spx,90,43,7,raw,80.0,574.1
spx,90,43,7,aci,100.0,714.9
spx,90,43,7,rcac,100.0,654.9
spx,90,43,8,raw,90.0,315.4
spx,90,43,8,aci,100.0,659.1
spx,90,43,8,rcac,100.0,684.7
spx,90,43,9,raw,35.0,1997.9
spx,90,43,9,aci,80.0,778.2
spx,90,43,9,rcac,55.0,935.6
spx,90,43,10,raw,90.0,556.5
spx,90,43,10,aci,95.0,723.0
spx,90,43,10,rcac,95.0,825.6
spx,90,44,6,raw,55.0,782.1
spx,90,44,6,aci,90.0,834.2
spx,90,44,6,rcac,100.0,908.5
spx,90,44,7,raw,80.0,678.9
spx,90,44,7,aci,100.0,723.1
spx,90,44,7,rcac,100.0,723.1
spx,90,44,8,raw,100.0,345.7
spx,90,44,8,aci,100.0,668.7
spx,90,44,8,rcac,100.0,754.0
spx,90,44,9,raw,35.0,1232.8
spx,90,44,9,aci,80.0,709.3
spx,90,44,9,rcac,60.0,690.7
spx,90,44,10,raw,85.0,539.7
spx,90,44,10,aci,95.0,684.1
spx,90,44,10,rcac,100.0,780.9
spx,95,42,6,raw,30.0,3278.8
spx,95,42,6,aci,100.0,1075.7
spx,95,42,6,rcac,100.0,1233.9
spx,95,42,7,raw,95.0,593.9
spx,95,42,7,aci,100.0,1031.4
spx,95,42,7,rcac,100.0,937.0
spx,95,42,8,raw,100.0,337.3
spx,95,42,8,aci,100.0,984.5
spx,95,42,8,rcac,100.0,1020.3
spx,95,42,9,raw,40.0,2725.7
spx,95,42,9,aci,100.0,942.4
spx,95,42,9,rcac,85.0,840.4
spx,95,42,10,raw,95.0,667.7
spx,95,42,10,aci,95.0,1014.4
spx,95,42,10,rcac,95.0,967.3
spx,95,43,6,raw,95.0,512.2
spx,95,43,6,aci,100.0,1075.7
spx,95,43,6,rcac,100.0,1233.9
spx,95,43,7,raw,90.0,717.0
spx,95,43,7,aci,100.0,1031.4
spx,95,43,7,rcac,100.0,936.0
spx,95,43,8,raw,90.0,383.1
spx,95,43,8,aci,100.0,984.5
spx,95,43,8,rcac,100.0,972.9
spx,95,43,9,raw,35.0,3189.8
spx,95,43,9,aci,95.0,971.6
spx,95,43,9,rcac,80.0,828.8
spx,95,43,10,raw,90.0,790.5
spx,95,43,10,aci,100.0,912.2
spx,95,43,10,rcac,100.0,938.8
spx,95,44,6,raw,90.0,530.4
spx,95,44,6,aci,100.0,1075.7
spx,95,44,6,rcac,100.0,1233.9
spx,95,44,7,raw,80.0,991.2
spx,95,44,7,aci,100.0,1031.4
spx,95,44,7,rcac,100.0,936.2
spx,95,44,8,raw,100.0,395.7
spx,95,44,8,aci,100.0,984.5
spx,95,44,8,rcac,100.0,986.2
spx,95,44,9,raw,50.0,1491.8
spx,95,44,9,aci,100.0,941.6
spx,95,44,9,rcac,85.0,787.2
spx,95,44,10,raw,85.0,760.5
spx,95,44,10,aci,100.0,886.4
spx,95,44,10,rcac,100.0,756.0
